,E_program,Ecell,iw,t
0,-0.5,-0.4995936512035126,-2.0359182801177046e-06,0.0
1,-0.5,-0.4999225061027035,-1.3782077664569182e-06,0.0002777777777777778
2,-0.5,-0.4999225061027035,-2.0359182801177046e-06,0.0005555555555555556
3,-0.5,-0.4992647963040857,-1.707063023405425e-06,0.0008333333333333334
4,-0.5,-0.4995936512035126,-1.707063023405425e-06,0.0011111111111111111
5,-0.5,-0.4999225061027035,-1.707063023405425e-06,0.001388888888888889
6,-0.5,-0.4999225061027035,-2.0359182801177046e-06,0.0016666666666666668
7,-0.5,-0.4995936512035126,-1.707063023405425e-06,0.0019444444444444444
8,-0.5,-0.5002513610016582,-1.3782077664569182e-06,0.0022222222222222222
9,-0.5,-0.4995936512035126,-1.3782077664569182e-06,0.0025
10,-0.5,-0.4995936512035126,-1.707063023405425e-06,0.002777777777777778
11,-0.5,-0.4995936512035126,-1.049352509272211e-06,0.0030555555555555557
12,-0.5,-0.4995936512035126,-2.0359182801177046e-06,0.0033333333333333335
13,-0.5,-0.4999225061027035,-2.0359182801177046e-06,0.003611111111111111
14,-0.5,-0.4992647963040857,-1.3782077664569182e-06,0.0038888888888888888
15,-0.5,-0.4999225061027035,-2.3647735365938395e-06,0.004166666666666667
16,-0.5,-0.4995936512035126,-1.3782077664569182e-06,0.0044444444444444444
17,-0.5,-0.4995936512035126,-1.707063023405425e-06,0.004722222222222222
18,-0.5,-0.4992647963040857,-1.707063023405425e-06,0.005
19,-0.5,-0.4995936512035126,-1.707063023405425e-06,0.005277777777777778
20,-0.5,-0.4995936512035126,-1.3782077664569182e-06,0.005555555555555556
21,-0.5,-0.4995936512035126,-1.3782077664569182e-06,0.005833333333333334
22,-0.5,-0.4992647963040857,-1.3782077664569182e-06,0.006111111111111111
23,-0.5,-0.4995936512035126,-1.707063023405425e-06,0.006388888888888889
24,-0.5,-0.4995936512035126,-2.0359182801177046e-06,0.006666666666666667
25,-0.5,-0.4995936512035126,-1.707063023405425e-06,0.006944444444444444
