,f,Yre,Yim,Zre,Zim
0,6250.0,0.002121729201934128,8.055080001434305e-05,470.6353456901511,-17.867526909565317
1,3125.0,0.0021065389743572987,0.00011531002529704414,473.2941548313654,-25.90769106619486
2,1562.5,0.0020813815301525987,0.0001722611217817092,477.18156957689985,-39.49291913955195
3,781.25,0.001995881949536204,0.00027618681791908043,491.6178611152444,-68.02926031028812
4,390.625,0.001833845798530711,0.0003872008825269113,522.0296624958529,-110.22210601652986
5,195.3125,0.0015846172262568708,0.00045740942085606515,582.5295054805553,-168.1506923680494
6,97.65625,0.001332041862673109,0.0004228303034073058,682.0068341424042,-216.4895598908496
7,48.828125,0.001138906294197561,0.000347507036326416,803.2523070941941,-245.09112828929463
8,24.4140625,0.0010042902687035225,0.000270535833980236,928.3609441645644,-250.0819833577253
9,12.20703125,0.0009071528617363957,0.0002116133156220482,1045.4604769942564,-243.87660252219933
10,6.103515625,0.0008336484097400164,0.00017908312395719221,1146.6327979323216,-246.3179694057531
11,3.0517578125,0.0007619454523081877,0.00015680901963870418,1259.1019196551827,-259.1242418315278
12,1.52587890625,0.0006943393625863985,0.0001545204851939922,1372.256300640373,-305.38627191696673
