,f,Yre,Yim,Zre,Zim
0,6250.0,0.002559253121446559,8.041790512798286e-05,390.35357527064565,-12.26585073567886
1,3125.0,0.002532828018999974,0.00011761697273232857,393.9660475133971,-18.294607261231093
2,1562.5,0.002483814889173065,0.00015015808266590972,401.1404199356917,-24.25079123243164
3,781.25,0.0024168450946972673,0.00020295781844508176,410.8651226436878,-34.5029514510027
4,390.625,0.0023227149394064884,0.00026536606525516987,424.98349773285724,-48.5536114132735
5,195.3125,0.0021919049353953967,0.00035303610649907674,444.6882912008992,-71.62309842738392
6,97.65625,0.0020120155775421,0.00043913468635276476,474.414943371897,-103.54395844846458
7,48.828125,0.0017959061498090863,0.0005179915808313808,514.0568878231436,-148.2689615986206
8,24.4140625,0.0015061482777890538,0.0005644740250742307,582.1732378770869,-218.18679855171766
9,12.20703125,0.0012178263927010505,0.0005849737964334187,667.1941150738135,-320.4817014904125
10,6.103515625,0.000927680386150558,0.0005383071720975709,806.422287333711,-467.9444639466722
11,3.0517578125,0.0006836486248557868,0.00045719149516411763,1010.7172156085917,-675.9193219904192
12,1.52587890625,0.00047455595166886734,0.0003694202956144104,1312.1071053525857,-1021.4159005540082
