,f,Yre,Yim,Zre,Zim
0,6250.0,0.0024483926337815465,6.869088161012593e-05,408.10999597953156,-11.449730337752767
1,3125.0,0.0024523633173327377,0.00011794802751216608,406.8288491902883,-19.56670121343542
2,1562.5,0.0024006831746291963,0.000198727967378207,413.7131294577093,-34.24707190173336
3,781.25,0.002304826204627405,0.0002840932125818577,427.3789968595923,-52.678797196980454
4,390.625,0.0021624507566182136,0.0003873537240564059,448.06152764164455,-80.26000167042669
5,195.3125,0.0019610333243123383,0.0004933377599515227,479.58353951274734,-120.64897937203948
6,97.65625,0.0017005949372663506,0.0005765660013368094,527.4059604056342,-178.81056741300287
7,48.828125,0.0014081233364382005,0.0006240981080884539,593.5663836228904,-263.07614358624
8,24.4140625,0.0010770593885688065,0.0006121652849381105,701.7572967319348,-398.8558663252014
9,12.20703125,0.0007871260788262853,0.0005554144821292862,848.1480303416431,-598.472991447081
10,6.103515625,0.0005481357450772918,0.00044590784959687744,1097.8378734558153,-893.0899503546569
11,3.0517578125,0.00038146701911782616,0.00033950339868205433,1462.794460082268,-1301.8784478922812
12,1.52587890625,0.0002555747755150708,0.00025405732598453507,1968.024863686436,-1956.3399139512164
