,f,Yre,Yim,Zre,Zim
0,6250.0,0.002865863188732395,0.00016122764313865494,347.83412906041434,-19.568441735839592
1,3125.0,0.002784212783265855,0.00033651380409112337,353.9966468016462,-42.78579531230783
2,1562.5,0.0026229408702513604,0.0005517342048520363,365.09703532701843,-76.79796550681844
3,781.25,0.002298881542290313,0.0008172100377451333,386.1921394073993,-137.28419103646846
4,390.625,0.0017678178869375803,0.0009920054923297247,430.2039898523819,-241.40762683141273
5,195.3125,0.0011756337536218526,0.0009414136185450456,518.2714956997052,-415.016872943876
6,97.65625,0.0007378004953689477,0.0007257015810827856,688.894268391303,-677.5973490237891
7,48.828125,0.000475668978713573,0.0005162162110028848,965.3546093880785,-1047.643888992301
8,24.4140625,0.00030387374664797486,0.00036281229746411227,1356.7487161653276,-1619.9001204394035
9,12.20703125,0.0001870355018513677,0.00025631048729401784,1857.7714989465564,-2545.8606171694987
10,6.103515625,0.00010256896314166948,0.00017270070548899377,2542.238427146494,-4280.499250860255
11,3.0517578125,4.704682767319206e-05,0.0001112371329397072,3225.2343244938515,-7625.717546942258
12,1.52587890625,1.1206372020095559e-05,6.925785014903318e-05,2276.684783868664,-14070.413985454621
