,E_program,Ecell,iw,t
0,-0.5,-0.5936036512035127,-2.0359182801177046e-06,0.0
1,-0.5,-0.5939325061027035,-1.3782077664569182e-06,0.0002777777777777
2,-0.5,-0.5939325061027035,-2.0359182801177046e-06,0.0005555555555555
3,-0.5,-0.5932747963040857,-1.707063023405425e-06,0.0008333333333333
4,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0011111111111111
5,-0.5,-0.5939325061027035,-1.707063023405425e-06,0.0013888888888888
6,-0.5,-0.5939325061027035,-2.0359182801177046e-06,0.0016666666666666
7,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0019444444444444
8,-0.5,-0.5942613610016583,-1.3782077664569182e-06,0.0022222222222222
9,-0.5,-0.5936036512035127,-1.3782077664569182e-06,0.0025
10,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0027777777777777
11,-0.5,-0.5936036512035127,-1.049352509272211e-06,0.0030555555555555
12,-0.5,-0.5936036512035127,-2.0359182801177046e-06,0.0033333333333333
13,-0.5,-0.5939325061027035,-2.0359182801177046e-06,0.0036111111111111
14,-0.5,-0.5932747963040857,-1.3782077664569182e-06,0.0038888888888888
15,-0.5,-0.5939325061027035,-2.3647735365938395e-06,0.0041666666666666
16,-0.5,-0.5936036512035127,-1.3782077664569182e-06,0.0044444444444444
17,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0047222222222222
18,-0.5,-0.5932747963040857,-1.707063023405425e-06,0.005
19,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0052777777777777
20,-0.5,-0.5936036512035127,-1.3782077664569182e-06,0.0055555555555555
21,-0.5,-0.5936036512035127,-1.3782077664569182e-06,0.0058333333333333
22,-0.5,-0.5932747963040857,-1.3782077664569182e-06,0.0061111111111111
23,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0063888888888888
24,-0.5,-0.5936036512035127,-2.0359182801177046e-06,0.0066666666666666
25,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0069444444444444
26,-0.5,-0.5936036512035127,-1.707063023405425e-06,0.0072222222222222
27,-0.5,-0.5932747963040857,-2.0359182801177046e-06,0.0075
28,-0.5,-0.5936036512035127,-2.0359182801177046e-06,0.0077777777777777
29,-0.5,-0.5929459414044226,-1.3782077664569182e-06,0.0080555555555555
30,-0.5,-0.5936036512035127,-2.0359182801177046e-06,0.0083333333333333
31,-0.5,-0.5932747963040857,-2.0359182801177046e-06,0.0086111111111111
32,-0.5,-0.5929459414044226,-1.3782077664569182e-06,0.0088888888888888
33,-0.5,-0.5936036512035127,-1.3782077664569182e-06,0.0091666666666666
34,-0.5,-0.5939325061027035,-2.3647735365938395e-06,0.0094444444444444
