,E_program,Ecell,iw,t
14893,0.3548727636404045,0.32920253621120066,2.361479245272333e-05,4.1369444444444445
14894,0.3549838870985665,0.32920253621120066,2.361479245272333e-05,4.137222222222222
14895,0.3550950105567285,0.32953139178091617,2.361479245272333e-05,4.1375
14896,0.3552061340148905,0.32967740352297137,2.3285937177824275e-05,4.137777777777778
14897,0.3553172574730526,0.32953139178091617,2.361479245272333e-05,4.138055555555556
14898,0.3554283809312146,0.32986024735086805,2.361479245272333e-05,4.138333333333334
14899,0.3555395043893766,0.32986024735086805,2.361479245272333e-05,4.138611111111112
14900,0.3556506278475386,0.33033511466311133,2.3285937177824275e-05,4.138888888888889
14901,0.3557617513057006,0.3300430911788961,2.3943647727858563e-05,4.139166666666667
14902,0.3558728747638626,0.33033511466311133,2.3285937177824275e-05,4.139444444444444
14903,0.3559839982220247,0.3300430911788961,2.3943647727858563e-05,4.139722222222222
14904,0.3560951216801867,0.32986024735086805,2.361479245272333e-05,4.14
14905,0.3562062451383487,0.33084681406214106,2.361479245272333e-05,4.1402777777777775
14906,0.3563173685965107,0.33037194674932047,2.3943647727858563e-05,4.140555555555555
14907,0.3564284920546727,0.330700802319981,2.3943647727858563e-05,4.140833333333333
14908,0.3565396155128348,0.33084681406214106,2.361479245272333e-05,4.141111111111111
14909,0.3566507389709968,0.3311756696330381,2.361479245272333e-05,4.141388888888889
14910,0.3567618624291588,0.331029657890878,2.3943647727858563e-05,4.141666666666667
14911,0.3568729858873208,0.3313585134620112,2.3943647727858563e-05,4.141944444444444
14912,0.3569841093454828,0.33150452520417123,2.361479245272333e-05,4.142222222222222
14913,0.3570952328036448,0.33084681406214106,2.361479245272333e-05,4.1425
14914,0.3572063562618069,0.33132168137509327,2.3285937177824275e-05,4.142777777777778
14915,0.3573174797199689,0.33183338077554064,2.361479245272333e-05,4.143055555555556
14916,0.3574286031781309,0.3311756696330381,2.361479245272333e-05,4.1433333333333335
14917,0.3575397266362929,0.3320162246049863,2.3943647727858563e-05,4.143611111111111
14918,0.3576508500944549,0.3316873690333806,2.3943647727858563e-05,4.143888888888889
14919,0.3577619735526169,0.3316873690333806,2.3943647727858563e-05,4.144166666666667
14920,0.3578730970107791,0.33183338077554064,2.361479245272333e-05,4.144444444444445
14921,0.3579842204689411,0.33183338077554064,2.361479245272333e-05,4.144722222222223
14922,0.358095343927103,0.33263710366104354,2.3285937177824275e-05,4.145
14923,0.358206467385265,0.33249109191898835,2.361479245272333e-05,4.145277777777777
14924,0.358317590843427,0.33249109191898835,2.361479245272333e-05,4.145555555555555
14925,0.358428714301589,0.33296595923312183,2.3285937177824275e-05,4.145833333333333
14926,0.3585398377597512,0.3316873690333806,2.3943647727858563e-05,4.146111111111111
14927,0.3586509612179132,0.33281994749106664,2.361479245272333e-05,4.146388888888889
14928,0.3587620846760752,0.33314880306338124,2.361479245272333e-05,4.1466666666666665
14929,0.3588732081342372,0.3326739357489066,2.3943647727858563e-05,4.146944444444444
14930,0.3589843315923992,0.3334776586359319,2.361479245272333e-05,4.147222222222222
14931,0.3590954550505612,0.33314880306338124,2.361479245272333e-05,4.1475
14932,0.3592065785087233,0.3326739357489066,2.3943647727858563e-05,4.147777777777778
14933,0.3593177019668853,0.3334776586359319,2.361479245272333e-05,4.148055555555556
14934,0.3594288254250473,0.33413536978174235,2.361479245272333e-05,4.148333333333333
14935,0.3595399488832093,0.3330027913212212,2.3943647727858563e-05,4.148611111111111
14936,0.3596510723413713,0.33428138152379755,2.3285937177824275e-05,4.148888888888889
14937,0.3597621957995333,0.3344642253550019,2.361479245272333e-05,4.149166666666667
14938,0.3598733192576954,0.33395252595077424,2.3285937177824275e-05,4.149444444444445
14939,0.3599844427158574,0.3346102370970571,2.3285937177824275e-05,4.149722222222223
14940,0.3600955661740194,0.3338433462973174,2.427250300323e-05,4.15
14941,0.3602066896321814,0.33442739326574783,2.29570819031614e-05,4.150277777777778
14942,0.3603178130903434,0.33479308092849774,2.361479245272333e-05,4.150555555555556
14943,0.3604289365485054,0.3346102370970571,2.3285937177824275e-05,4.150833333333333
14944,0.3605400600066675,0.3344642253550019,2.361479245272333e-05,4.151111111111111
14945,0.3606511834648295,0.33512193650222993,2.361479245272333e-05,4.151388888888889
14946,0.3607623069229915,0.33479308092849774,2.361479245272333e-05,4.151666666666666
14947,0.3608734303811535,0.33512193650222993,2.361479245272333e-05,4.151944444444444
14948,0.3609845538393155,0.33530478033403827,2.3943647727858563e-05,4.152222222222222
14949,0.3610956772974776,0.3349759247600699,2.3943647727858563e-05,4.1525
14950,0.3612068007556396,0.3357428155602038,2.29570819031614e-05,4.152777777777778
14951,0.3613179242138016,0.3349759247600699,2.3943647727858563e-05,4.153055555555556
14952,0.3614290476719636,0.3355968038182535,2.3285937177824275e-05,4.153333333333333
14953,0.3615401711301256,0.3354507920761983,2.361479245272333e-05,4.153611111111111
14954,0.3616512945882876,0.33577964765040297,2.361479245272333e-05,4.153888888888889
14955,0.3617624180464497,0.3356336359082429,2.3943647727858563e-05,4.154166666666667
14956,0.3618735415046117,0.33596249148268387,2.3943647727858563e-05,4.154444444444445
14957,0.3619846649627737,0.33709506994958444,2.361479245272333e-05,4.154722222222222
14958,0.3620957884209357,0.3366202026322746,2.3943647727858563e-05,4.155
14959,0.3622069118790977,0.3362913470573611,2.3943647727858563e-05,4.155277777777778
14960,0.3623180353372597,0.33643735879952114,2.361479245272333e-05,4.155555555555556
14961,0.3624291587954218,0.33643735879952114,2.361479245272333e-05,4.155833333333334
14962,0.3625402822535838,0.33709506994958444,2.361479245272333e-05,4.156111111111112
14963,0.3626514057117458,0.33676621437443466,2.361479245272333e-05,4.1563888888888885
14964,0.3627625291699078,0.3373870934335899,2.29570819031614e-05,4.156666666666666
14965,0.3628736526280698,0.33680304646515946,2.427250300323e-05,4.156944444444444
14966,0.3629847760862318,0.3373870934335899,2.29570819031614e-05,4.157222222222222
14967,0.3630958995443939,0.33709506994958444,2.361479245272333e-05,4.1575
14968,0.3632070230025559,0.3372779137828104,2.3943647727858563e-05,4.157777777777778
14969,0.3633181464607179,0.33709506994958444,2.361479245272333e-05,4.158055555555555
14970,0.3634292699188799,0.33775278110059276,2.361479245272333e-05,4.158333333333333
14971,0.3635403933770419,0.3376067693584327,2.3943647727858563e-05,4.158611111111111
14972,0.3636515168352039,0.33808163667645136,2.361479245272333e-05,4.158888888888889
14973,0.363762640293366,0.33775278110059276,2.361479245272333e-05,4.159166666666667
14974,0.363873763751528,0.33742392552497047,2.361479245272333e-05,4.1594444444444445
14975,0.36398488720969,0.3382644805103862,2.3943647727858563e-05,4.159722222222222
14976,0.364096010667852,0.33855650399460147,2.3285937177824275e-05,4.16
14977,0.364207134126014,0.3388853595709325,2.3285937177824275e-05,4.160277777777778
14978,0.364318257584176,0.3389221916632847,2.3943647727858563e-05,4.160555555555556
14979,0.3644293810423381,0.3387393478288773,2.361479245272333e-05,4.160833333333334
14980,0.3645405045005001,0.33855650399460147,2.3285937177824275e-05,4.161111111111111
14981,0.3646516279586621,0.3389221916632847,2.3943647727858563e-05,4.161388888888889
14982,0.3647627514168241,0.33906820340544475,2.361479245272333e-05,4.161666666666667
14983,0.3648738748749861,0.33855650399460147,2.3285937177824275e-05,4.161944444444444
14984,0.3649849983331481,0.3389221916632847,2.3943647727858563e-05,4.162222222222222
14985,0.3650961217913102,0.3395799028171283,2.3943647727858563e-05,4.1625
14986,0.3652072452494722,0.33939705898224837,2.361479245272333e-05,4.1627777777777775
14987,0.3653183687076342,0.33906820340544475,2.361479245272333e-05,4.163055555555555
14988,0.3654294921657962,0.33954307072430356,2.3285937177824275e-05,4.163333333333333
14989,0.3655406156239582,0.33972591455928836,2.361479245272333e-05,4.163611111111111
14990,0.3656517390821202,0.34020078187861963,2.3285937177824275e-05,4.163888888888889
14991,0.3657628625402823,0.34005477013656443,2.361479245272333e-05,4.164166666666667
14992,0.3658739859984443,0.3399087583944044,2.3943647727858563e-05,4.164444444444444
14993,0.3659851094566063,0.33987192630134355,2.3285937177824275e-05,4.164722222222222
14994,0.3660962329147683,0.34020078187861963,2.3285937177824275e-05,4.165
