,f,Yre,Yim,Zre,Zim
0,6250.0,0.011612872260830175,0.0004717262311543224,85.96948557865097,-3.492164601093596
1,3125.0,0.011659580677034612,0.0007889102677616777,85.37551636329356,-5.776676137858116
2,1562.5,0.011491878072543307,0.0014152710215793126,85.71790257053105,-10.556504582873897
3,781.25,0.010967711974213893,0.0025582500144940884,86.472044688264,-20.16985038421749
4,390.625,0.00951454268201591,0.004168217935735587,88.17880462497702,-38.63017774719556
5,195.3125,0.006533086127303008,0.005320743365165389,92.02628329632184,-74.94899450711385
6,97.65625,0.003248144771587717,0.004603041097527055,102.34106057217954,-145.03051461834343
7,48.828125,0.0014198177842247688,0.0029630373820166635,131.5197375168469,-274.4703602569782
8,24.4140625,0.00070450137567146,0.0016906511816260877,210.0090675918167,-503.9764158556792
9,12.20703125,0.00044083651330582895,0.0009558911941055065,397.8436195670708,-862.667227184504
10,6.103515625,0.0003105596643623771,0.0005697627358450996,737.5367276185405,-1353.108571188582
11,3.0517578125,0.00021267953965922417,0.00036953305680862666,1169.93639632823,-2032.7774524035608
12,1.52587890625,0.00012176624871453081,0.0002574915019435883,1500.8986855750704,-3173.856966883498
